# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15434
#@/user_id	1085ee9c-96fc-4189-a383-8ffdddf6a4c9
a 	啊	c=204 d=5.82978 t=15434
a 	阿	c=1 d=1 t=2768
a a 	啊啊	c=11 d=0.000420107 t=15434
a a a 	啊啊啊	c=6 d=6.28563e-09 t=15434
a a a a 	啊啊啊啊	c=1 d=1.50549e-19 t=15434
a a a a a 	啊啊啊啊啊	c=1 d=1 t=1761
a ba 	阿巴	c=2 d=0.0376527 t=15434
a li 	阿里	c=1 d=1 t=545
a li ba ba 	阿里巴巴	c=1 d=1 t=9839
a pa qi 	阿帕奇	c=1 d=1 t=10951
a san 	阿三	c=1 d=5.08274e-10 t=15434
a sang 	阿桑	c=0 d=0.1 t=15400
a sang qi 	阿桑齊	c=1 d=1 t=15401
a zhe 	啊這	c=1 d=1 t=10164
ai 	唉	c=49 d=0.644114 t=15434
ai 	愛	c=17 d=2.91129 t=15434
ai ai 	愛愛	c=0 d=0.1 t=14000
ai ai ai ai ai 	愛愛愛愛唉	c=1 d=1 t=14001
ai bu shi shou 	愛不釋手	c=1 d=1 t=3909
ai ji 	埃及	c=1 d=1 t=2712
ai ni 	愛你	c=7 d=3.81602 t=15362
ai qin hai 	愛琴海	c=1 d=1 t=2714
ai qing 	愛情	c=2 d=0.292293 t=15434
ai qing gong yu 	愛情公寓	c=1 d=1 t=9104
ai shang 	愛上	c=1 d=1 t=8818
ai shang shang 	愛上上	c=1 d=1 t=5941
ai si 	愛死	c=0 d=0.1 t=7980
ai yao 	哎喲	c=1 d=1 t=13088
ai yu 	愛慾	c=3 d=1 t=14803
ai zheng 	捱整	c=1 d=1.04909e-05 t=15434
ai zheng 	癌症	c=1 d=1.05435e-05 t=15434
ai zi bing 	艾滋病	c=1 d=9.43048e-17 t=15434
an 	安	c=13 d=1.10222 t=15434
an 	按	c=1 d=9.17858e-22 t=15434
an 	暗	c=3 d=5.0657e-19 t=15434
an 	案	c=1 d=7.69454e-06 t=15434
an hei 	暗黑	c=1 d=0.484325 t=15434
an jian 	按鍵	c=2 d=1.00001 t=2501
an li 	案例	c=1 d=1 t=9811
an niu 	按鈕	c=3 d=2.94575 t=3111
an pai 	安排	c=5 d=1 t=10765
an quan 	安全	c=3 d=1.05723 t=15434
an se 	暗色	c=1 d=6.24557e-22 t=15434
an tu tu 	安兔兔	c=2 d=2.60804e-20 t=15434
an wang 	暗網	c=2 d=2.09394e-10 t=15434
an wei ji 	安慰劑	c=1 d=1 t=7302
an ying 	暗影	c=1 d=1 t=609
an zhao 	按照	c=2 d=6.32714e-17 t=15434
an zhe ge 	安這個	c=1 d=0.000696112 t=15434
an zhuang 	安裝	c=17 d=0.501116 t=15434
an zhuo 	安卓	c=10 d=0.425283 t=15434
an zhuo ji 	安卓機	c=1 d=1 t=7619
ang 	昂	c=1 d=8.72945e-20 t=15434
ao 	奧	c=1 d=1 t=6322
ao man 	傲慢	c=3 d=1.00041 t=13083
ao ye 	熬夜	c=1 d=3.28876e-06 t=15434
ba 	八	c=4 d=5.81651e-11 t=15434
ba 	吧	c=57 d=1.66894 t=15434
ba 	巴	c=1 d=9.35285e-08 t=15434
ba 	把	c=33 d=1.13887 t=15434
ba 	爸	c=3 d=1.00775 t=9776
ba ba 	吧吧	c=2 d=1.99501 t=9447
ba ba 	爸爸	c=1 d=0.32628 t=15434
ba bing chi 	把冰喫	c=1 d=1 t=1789
ba le 	罷了	c=3 d=4.56586e-13 t=15434
ba ni 	把你	c=5 d=0.0273237 t=15434
ba ni jia 	把你家	c=1 d=1 t=3519
ba ta 	把它	c=1 d=2.56478e-22 t=15434
ba ta lia 	把他倆	c=1 d=2.91836e-12 t=15434
ba ta men 	吧他們	c=1 d=1 t=6378
ba wo 	把握	c=4 d=1.00883 t=13513
ba wo de 	吧我的	c=1 d=1 t=9557
ba zi ji 	把自己	c=1 d=1.86083e-12 t=15434
bai 	白	c=2 d=1 t=15394
bai bai 	拜拜	c=3 d=0.618783 t=15434
bai du 	拜讀	c=1 d=2.33559e-09 t=15434
bai du 	百度	c=4 d=0.177284 t=15434
bai du a 	百度啊	c=1 d=0.163654 t=15434
bai hai 	百害	c=1 d=6.52859e-14 t=15434
bai ke 	百科	c=3 d=1 t=7536
bai kong 	百孔	c=1 d=1.32448e-12 t=15434
bai lan 	擺欄	c=1 d=1 t=5999
bai le 	白了	c=1 d=8.09455e-14 t=15434
bai piao 	白嫖	c=1 d=0.000939653 t=15434
bai se 	白色	c=1 d=2.46337e-18 t=15434
bai se de 	白色的	c=1 d=1 t=15392
bai tuo 	拜託	c=1 d=1 t=9553
bai tuo 	擺脫	c=1 d=1 t=3121
bai yang 	白羊	c=1 d=1 t=6114
ban 	半	c=0 d=1.00707e-25 t=15434
ban 	板	c=4 d=1.35078e-07 t=15434
ban 	版	c=12 d=0.591555 t=15434
ban 	班	c=3 d=1.82795 t=15434
ban 	辦	c=1 d=0.29671 t=15434
ban a 	辦啊	c=1 d=1 t=8687
ban ben 	版本	c=9 d=0.169483 t=15434
ban ben de 	版本的	c=1 d=2.24592e-19 t=15434
ban ben hao 	版本號	c=1 d=1.72367e-23 t=15434
ban dao ti 	半導體	c=1 d=1.67159e-15 t=15434
ban de 	搬的	c=2 d=1.65478e-06 t=15434
ban fa 	辦法	c=9 d=0.771052 t=15434
ban fa ne 	辦法呢	c=1 d=2.79859e-19 t=15434
ban ji 	班級	c=4 d=0.100076 t=11180
ban ji qun 	班級羣	c=3 d=1.17291 t=14853
ban jia 	搬家	c=2 d=1.99005 t=4081
ban li 	辦理	c=1 d=1 t=2539
ban lv 	伴侶	c=1 d=5.1382e-20 t=15434
ban mao qian 	半毛錢	c=2 d=2.17052e-24 t=15434
ban quan 	版權	c=3 d=3.92501e-14 t=15434
ban si 	半死	c=2 d=1.07111e-13 t=15434
ban xue 	辦學	c=1 d=1 t=7706
ban zhu ren 	班主任	c=2 d=1.78663 t=5982
ban zi 	板子	c=4 d=1.31643e-20 t=15434
ban zi de 	板子的	c=1 d=2.64928e-21 t=15434
bang 	幫	c=2 d=0.0200405 t=15434
bang 	棒	c=2 d=0.00898153 t=15434
bang 	邦	c=1 d=7.34696e-21 t=15434
bang bang 	棒棒	c=1 d=1.41098e-21 t=15434
bang ni 	幫你	c=2 d=0.00195457 t=15434
bang ni zuo 	幫你做	c=1 d=0.0196437 t=15434
bang ta 	幫她	c=1 d=0.0206508 t=15434
bang wo 	幫我	c=2 d=0.0032313 t=15434
bang zhu 	幫助	c=3 d=1.0802 t=14112
bang zhu ta 	幫助他	c=1 d=1 t=14113
bang zi 	棒子	c=1 d=5.05739e-10 t=15434
bao 	包	c=10 d=0.286505 t=15434
