# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
a 	啊	c=14 d=1.78572 t=1248
a ba 	阿巴	c=2 d=1.99501 t=454
ai 	愛	c=1 d=1 t=1076
ai qing 	愛情	c=1 d=1 t=559
an 	安	c=7 d=1.10222 t=1248
an hei 	暗黑	c=1 d=1 t=1103
an quan 	安全	c=2 d=1.05723 t=1248
an zhuang 	安裝	c=2 d=0.501116 t=1248
an zhuo 	安卓	c=1 d=0.425283 t=1248
ba 	吧	c=6 d=1.66894 t=1248
ba 	把	c=1 d=1 t=1083
ba ba 	爸爸	c=1 d=1 t=1024
bai bai 	拜拜	c=1 d=0.618783 t=1248
bai du 	百度	c=0 d=0.1 t=885
bai du a 	百度啊	c=1 d=1 t=886
ban 	版	c=1 d=1 t=1143
ban 	辦	c=1 d=0.29671 t=1248
ban ben 	版本	c=1 d=0.169483 t=1248
bang 	幫	c=1 d=1 t=466
bang ni 	幫你	c=0 d=0.1 t=461
bang ni zuo 	幫你做	c=1 d=1 t=462
bang ta 	幫她	c=1 d=1 t=472
bang wo 	幫我	c=0 d=0.1 t=454
bao 	包	c=1 d=1 t=998
bao qian 	抱歉	c=1 d=1 t=1210
bao ying 	報應	c=1 d=1 t=951
bei 	北	c=1 d=0.814647 t=1248
bei 	被	c=1 d=0.522046 t=1248
bei fen 	備份	c=1 d=0.153355 t=1248
bei jing 	北京	c=4 d=1.64569 t=1248
ben 	本	c=1 d=1 t=736
ben shang 	本上	c=1 d=0.540641 t=1248
ben shen 	本身	c=1 d=1 t=973
beng kui 	崩潰	c=1 d=0.159614 t=1248
bi 	逼	c=2 d=1.82696 t=735
bi jing 	畢竟	c=2 d=0.576802 t=1248
bi xu 	必須	c=1 d=0.364219 t=1248
bi yao 	必要	c=1 d=1 t=1214
bian 	變	c=1 d=0.29523 t=1248
bian cheng 	編程	c=3 d=0.773521 t=1248
biao ben 	標本	c=1 d=1 t=737
biao da 	表達	c=2 d=1.7788 t=1037
bie ji 	別急	c=1 d=0.559898 t=1248
bu 	不	c=1 d=1.1184 t=1221
bu bi 	不比	c=2 d=1.04056 t=1172
bu de bu 	不得不	c=0 d=0.1 t=425
bu de bu shuo 	不得不說	c=1 d=1 t=426
bu gan 	不敢	c=1 d=1 t=772
bu guan shi 	不管是	c=1 d=1 t=1232
bu guang 	不光	c=0 d=0.1 t=1143
bu guang gui 	不光貴	c=1 d=1 t=1144
bu hui 	不會	c=1 d=1.05326 t=1004
bu kai 	不開	c=1 d=1 t=618
bu luo 	部落	c=1 d=0.438235 t=1248
bu ran 	不然	c=4 d=2.40755 t=945
bu ru 	不如	c=1 d=0.239309 t=1248
bu shi 	不是	c=4 d=0.285042 t=1248
bu tai 	不太	c=1 d=0.263158 t=1248
bu wen ding 	不穩定	c=1 d=1 t=1198
bu yao 	不要	c=1 d=1 t=903
bu yao tai 	不要太	c=2 d=1.93239 t=924
bu ying li 	不盈利	c=1 d=1 t=970
bu zai 	不在	c=1 d=1 t=989
bu zhi dao 	不知道	c=2 d=0.744532 t=1248
bu zhu 	不住	c=0 d=0.1 t=556
bu zhu de 	不住的	c=1 d=1 t=557
bu zi ji 	不自己	c=1 d=1 t=1201
cai 	才	c=1 d=1 t=476
cai cai 	才才	c=2 d=1.06754 t=1027
cai neng 	才能	c=1 d=1 t=1156
cao 	草	c=8 d=2.0658 t=1248
ce shi 	測試	c=1 d=1 t=1057
ceng jing 	曾經	c=1 d=1 t=541
cha ru 	插入	c=1 d=1 t=402
chang hui 	昌輝	c=1 d=0.429557 t=1248
chang jiu 	長久	c=1 d=1 t=516
chang zhu 	常駐	c=1 d=0.453845 t=1248
chao 	超	c=1 d=1 t=676
che hui 	撤回	c=1 d=1 t=511
chen pao 	晨跑	c=1 d=1 t=499
chen zhe 	趁着	c=1 d=1 t=713
chi fan 	吃飯	c=1 d=0.0591555 t=1248
chi wan fan 	吃完飯	c=1 d=1 t=594
chong 	充	c=0 d=0.1 t=1132
chong da hui 	充大會	c=1 d=1 t=1133
chong dian 	充電	c=1 d=0.704688 t=1248
chong dian qi 	充電器	c=1 d=0.701173 t=1248
chong zhi 	重置	c=1 d=0.657047 t=1248
chu fei 	除非	c=1 d=1 t=918
chu li qi 	處理器	c=1 d=1 t=449
chu wen ti 	出問題	c=1 d=1 t=887
chuang ye 	創業	c=1 d=1 t=720
ci ci 	此次	c=1 d=0.410656 t=1248
cong 	從	c=0 d=0.1 t=995
cong ni de 	從你的	c=1 d=1 t=996
cong xia 	從下	c=1 d=0.304221 t=1248
cui 	催	c=2 d=1.9802 t=468
cun dang 	存檔	c=1 d=0.151829 t=1248
cuo le 	錯了	c=0 d=0.050409 t=1248
da 	大	c=1 d=1 t=505
da 	打	c=1 d=1 t=897
da dun 	打盹	c=1 d=0.19205 t=1248
da duo shu 	大多數	c=1 d=1 t=1040
da duo shu ren 	大多數人	c=1 d=1 t=1231
da gai 	大概	c=1 d=1 t=1192
da hui 	大會	c=0 d=0.196561 t=1139
da hui yuan 	大會員	c=2 d=1.84789 t=1173
da kai 	打開	c=1 d=0.774916 t=1248
da ye 	大爺	c=1 d=0.219526 t=1248
dai 	帶	c=1 d=0.66365 t=1248
dai li 	代理	c=1 d=1 t=690
dan 	但	c=2 d=0.305746 t=1248
dan mu 	彈幕	c=1 d=1 t=538
dan shi 	但是	c=1 d=1 t=1211
dang 	當	c=0 d=0.185642 t=1085
dang dang 	噹噹	c=1 d=1 t=908
dang sha zi 	當傻子	c=1 d=1 t=1086
dang zhe xie 	當這些	c=1 d=1 t=1055
dao 	到	c=2 d=1.49939 t=1248
